# -*- conf -*-
# Cosmopolitan Libc Memory Plan for old windows(vista through 8.0) 8tib user virtual memory space

79700000-797fffff 64gb   free
79800000-798fffff 64gb   free
79900000-799fffff 64gb   free
79a00000-79afffff 64gb   free
79b00000-79bfffff 64gb   free
79c00000-79cfffff 64gb   free
79d00000-79dfffff 64gb   free
79e00000-79efffff 64gb   free
79f00000-79ffffff 64gb   free
7a000000-7a0fffff 64gb   free
7a100000-7a1fffff 64gb   free
7a200000-7a2fffff 64gb   free
7a300000-7a3fffff 64gb   free
7a400000-7a4fffff 64gb   free
7a500000-7a5fffff 64gb   free
7a600000-7a6fffff 64gb   free
7a700000-7a7fffff 64gb   free
7a800000-7a8fffff 64gb   free
7a900000-7a9fffff 64gb   free
7aa00000-7aafffff 64gb   free
7ab00000-7abfffff 64gb   free
7ac00000-7acfffff 64gb   free
7ad00000-7adfffff 64gb   free
7ae00000-7aefffff 64gb   free
7af00000-7affffff 64gb   free
7b000000-7b0fffff 64gb   free
7b100000-7b1fffff 64gb   free
7b200000-7b2fffff 64gb   free
7b300000-7b3fffff 64gb   free
7b400000-7b4fffff 64gb   free
7b500000-7b5fffff 64gb   free
7b600000-7b6fffff 64gb   free
7b700000-7b7fffff 64gb   free
7b800000-7b8fffff 64gb   free
7b900000-7b9fffff 64gb   free
7ba00000-7bafffff 64gb   free
7bb00000-7bbfffff 64gb   free
7bc00000-7bcfffff 64gb   free
7bd00000-7bdfffff 64gb   free
7be00000-7befffff 64gb   free
7bf00000-7bffffff 64gb   free
7c000000-7c0fffff 64gb   free
7c100000-7c1fffff 64gb   free
7c200000-7c2fffff 64gb   free
7c300000-7c3fffff 64gb   free
7c400000-7c4fffff 64gb   free
7c500000-7c5fffff 64gb   free
7c600000-7c6fffff 64gb   free
7c700000-7c7fffff 64gb   free
7c800000-7c8fffff 64gb   free
7c900000-7c9fffff 64gb   free
7ca00000-7cafffff 64gb   free
7cb00000-7cbfffff 64gb   free
7cc00000-7ccfffff 64gb   free
7cd00000-7cdfffff 64gb   free
7ce00000-7cefffff 64gb   free
7cf00000-7cffffff 64gb   free
7d000000-7d0fffff 64gb   free
7d100000-7d1fffff 64gb   free
7d200000-7d2fffff 64gb   free
7d300000-7d3fffff 64gb   free
7d400000-7d4fffff 64gb   free
7d500000-7d5fffff 64gb   free
7d600000-7d6fffff 64gb   free
7d700000-7d7fffff 64gb   free
7d800000-7d8fffff 64gb   free
7d900000-7d9fffff 64gb   free
7da00000-7dafffff 64gb   free
7db00000-7dbfffff 64gb   free
7dc00000-7dcfffff 64gb   free
7dd00000-7ddfffff 64gb   free
7de00000-7defffff 64gb   free
7df00000-7dffffff 64gb   free
7e000000-7e0fffff 64gb   free
7e100000-7e1fffff 64gb   free
7e200000-7e2fffff 64gb   free
7e300000-7e3fffff 64gb   free
7e400000-7e4fffff 64gb   free
7e500000-7e5fffff 64gb   free
7e600000-7e6fffff 64gb   free
7e700000-7e7fffff 64gb   free
7e800000-7e8fffff 64gb   free
7e900000-7e9fffff 64gb   free
7ea00000-7eafffff 64gb   free
7eb00000-7ebfffff 64gb   free
7ec00000-7ecfffff 64gb   free
7ed00000-7edfffff 64gb   free
7ee00000-7eefffff 64gb   free
7ef00000-7effffff 64gb   free
7f000000-7f0fffff 64gb   kernel
7f100000-7f1fffff 64gb   kernel
7f200000-7f2fffff 64gb   kernel
7f300000-7f3fffff 64gb   kernel
7f400000-7f4fffff 64gb   kernel
7f500000-7f5fffff 64gb   kernel
7f600000-7f6fffff 64gb   kernel
7f700000-7f7fffff 64gb   kernel
7f800000-7f8fffff 64gb   kernel
7f900000-7f9fffff 64gb   kernel
7fa00000-7fafffff 64gb   kernel
7fb00000-7fbfffff 64gb   kernel
7fc00000-7fcfffff 64gb   kernel
7fd00000-7fdfffff 64gb   kernel
7fe00000-7fefffff 64gb   kernel
7ff00000-7fffffff 64gb   kernel
